GCAM_region_ID,region,grouped_region
1,USA,USA
2,Africa_Eastern,Africa
3,Africa_Northern,Africa
4,Africa_Southern,Africa
5,Africa_Western,Africa
6,Australia_NZ,ROW
7,Brazil,Brazil
8,Canada,Canada
9,Central America and Caribbean,ROW
10,Central Asia,ROW
11,China,China
12,EU-12,EU
13,EU-15,EU
14,Europe_Eastern,ROW
15,Europe_Non_EU,ROW
16,European Free Trade Association,ROW
17,India,India
18,Indonesia,Indonesia
19,Japan,ROW
20,Mexico,ROW
21,Middle East,ROW
22,Pakistan,ROW
23,Russia,Russia
24,South Africa,Africa
25,South America_Northern,ROW
26,South America_Southern,ROW
27,South Asia,ROW
28,South Korea,ROW
29,Southeast Asia,RO SEAsia
30,Taiwan,ROW
31,Argentina,Argentina
32,Colombia,ROW
